,polish,check,english,sentence,polish_html,english_html,sentence_html
0,azja,azja,asia,"Oczywiście, jeżeli jesteś z Azji, to zajmie ci to trochę dłużej,","<h4 style='color:rgb(0, 180, 250)'>azja</h4>    <p><i><h6>Oczywiście, jeżeli jesteś z Azji, to zajmie ci to trochę dłużej, </h6></i></p>",<h3>asia</h3>,"<p><i><h6>Oczywiście, jeżeli jesteś z Azji, to zajmie ci to trochę dłużej, </h6></i></p>"
1,białoruś,białoruś,belarus,"na Białorusi, Rosji czy Ukrainie","<h4 style='color:rgb(0, 180, 250)'>białoruś</h4>    <p><i><h6>na Białorusi, Rosji czy Ukrainie </h6></i></p>",<h3>belarus</h3>,"<p><i><h6>na Białorusi, Rosji czy Ukrainie </h6></i></p>"
2,brakować,brakować,to be missing,"ale brakuje wam regularnej praktyki,","<h4 style='color:rgb(0, 180, 250)'>brakować</h4>    <p><i><h6>ale brakuje wam regularnej praktyki, </h6></i></p>",<h3>to be missing</h3>,"<p><i><h6>ale brakuje wam regularnej praktyki, </h6></i></p>"
3,brawurowy,śmiały,daring/reckless,"Jest to śmiała, a nawet brawurowa decyzja,","<h4 style='color:rgb(0, 180, 250)'>brawurowy</h4>    <p><i><h6>Jest to śmiała, a nawet brawurowa decyzja, </h6></i></p>",<h3>daring/reckless</h3>,"<p><i><h6>Jest to śmiała, a nawet brawurowa decyzja, </h6></i></p>"
4,brazylia,brazylia,brazil,"choć pewnie jeżeli oglądacie ten filmik z Brazylii albo gdzieś z Chin,","<h4 style='color:rgb(0, 180, 250)'>brazylia</h4>    <p><i><h6>choć pewnie jeżeli oglądacie ten filmik z Brazylii albo gdzieś z Chin, </h6></i></p>",<h3>brazil</h3>,"<p><i><h6>choć pewnie jeżeli oglądacie ten filmik z Brazylii albo gdzieś z Chin, </h6></i></p>"
5,brytania,brytania,britain,"Wielkiej Brytanii, Irlandii czy Niemczech","<h4 style='color:rgb(0, 180, 250)'>brytania</h4>    <p><i><h6>Wielkiej Brytanii, Irlandii czy Niemczech </h6></i></p>",<h3>britain</h3>,"<p><i><h6>Wielkiej Brytanii, Irlandii czy Niemczech </h6></i></p>"
6,brzmieć,dźwięk,to sound,że odpowiedź na te pytania brzmi: tak,"<h4 style='color:rgb(0, 180, 250)'>brzmieć</h4>    <p><i><h6>że odpowiedź na te pytania brzmi: tak </h6></i></p>",<h3>to sound</h3>,<p><i><h6>że odpowiedź na te pytania brzmi: tak </h6></i></p>
7,cieszy się złą sławą,cieszy się złą sławą,is infamous/notorious,język polski cieszy się złą sławą jednego z najtrudniejszych na świecie,"<h4 style='color:rgb(0, 180, 250)'>cieszy się złą sławą</h4>    <p><i><h6>język polski cieszy się złą sławą jednego z najtrudniejszych na świecie </h6></i></p>",<h3>is infamous/notorious</h3>,<p><i><h6>język polski cieszy się złą sławą jednego z najtrudniejszych na świecie </h6></i></p>
8,co prawda,co prawda,in fact/admittedly,Nasi przodkowie co prawda musieli do tego łacińskiego alfabetu dodać kilka liter,"<h4 style='color:rgb(0, 180, 250)'>co prawda</h4>    <p><i><h6>Nasi przodkowie co prawda musieli do tego łacińskiego alfabetu dodać kilka liter </h6></i></p>",<h3>in fact/admittedly</h3>,<p><i><h6>Nasi przodkowie co prawda musieli do tego łacińskiego alfabetu dodać kilka liter </h6></i></p>
9,dać się,poddaj się,to give up,niektóre się powtarzają i da się tego z łatwością nauczyć,"<h4 style='color:rgb(0, 180, 250)'>dać się</h4>    <p><i><h6>niektóre się powtarzają i da się tego z łatwością nauczyć </h6></i></p>",<h3>to give up</h3>,<p><i><h6>niektóre się powtarzają i da się tego z łatwością nauczyć </h6></i></p>
10,dać się zniechęcić,dać się zniechęcić,to be discouraged,"Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia","<h4 style='color:rgb(0, 180, 250)'>dać się zniechęcić</h4>    <p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>",<h3>to be discouraged</h3>,"<p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>"
11,deklinacja,deklinacja,declination, nauczyć deklinacji i koniugacji,"<h4 style='color:rgb(0, 180, 250)'>deklinacja</h4>    <p><i><h6> nauczyć deklinacji i koniugacji </h6></i></p>",<h3>declination</h3>,<p><i><h6> nauczyć deklinacji i koniugacji </h6></i></p>
12,doktorat,doktorat,doctorate,Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego,"<h4 style='color:rgb(0, 180, 250)'>doktorat</h4>    <p><i><h6>Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego </h6></i></p>",<h3>doctorate</h3>,<p><i><h6>Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego </h6></i></p>
13,dopiero,tylko,only/just,które dopiero zaczynają swoją przygodę z językiem polskim,"<h4 style='color:rgb(0, 180, 250)'>dopiero</h4>    <p><i><h6>które dopiero zaczynają swoją przygodę z językiem polskim </h6></i></p>",<h3>only/just</h3>,<p><i><h6>które dopiero zaczynają swoją przygodę z językiem polskim </h6></i></p>
14,dyskusyjny,sporny,debatable/discussion,"Będzie to klub dyskusyjny dla osób, które oglądają nas regularnie,","<h4 style='color:rgb(0, 180, 250)'>dyskusyjny</h4>    <p><i><h6>Będzie to klub dyskusyjny dla osób, które oglądają nas regularnie, </h6></i></p>",<h3>debatable/discussion</h3>,"<p><i><h6>Będzie to klub dyskusyjny dla osób, które oglądają nas regularnie, </h6></i></p>"
15,dzielić,dzielić się,to share,który dzieli naszą wspólną pasję,"<h4 style='color:rgb(0, 180, 250)'>dzielić</h4>    <p><i><h6>który dzieli naszą wspólną pasję </h6></i></p>",<h3>to share</h3>,<p><i><h6>który dzieli naszą wspólną pasję </h6></i></p>
16,dążenie,usiłujący,striving/pursuit, Dążenie do perfekcji to wspaniała cecha,"<h4 style='color:rgb(0, 180, 250)'>dążenie</h4>    <p><i><h6> Dążenie do perfekcji to wspaniała cecha </h6></i></p>",<h3>striving/pursuit</h3>,<p><i><h6> Dążenie do perfekcji to wspaniała cecha </h6></i></p>
17,dźwięk,dźwięk,sound,syczącym i szeleszczącym dźwiękom,"<h4 style='color:rgb(0, 180, 250)'>dźwięk</h4>    <p><i><h6>syczącym i szeleszczącym dźwiękom </h6></i></p>",<h3>sound</h3>,<p><i><h6>syczącym i szeleszczącym dźwiękom </h6></i></p>
18,emigracja,emigracja,emigration, Polacy mają naprawdę długą historię emigracji,"<h4 style='color:rgb(0, 180, 250)'>emigracja</h4>    <p><i><h6> Polacy mają naprawdę długą historię emigracji </h6></i></p>",<h3>emigration</h3>,<p><i><h6> Polacy mają naprawdę długą historię emigracji </h6></i></p>
19,entuzjazm,entuzjazm,enthusiasm,Entuzjazmu znajomych na pewno to nie wzbudzi,"<h4 style='color:rgb(0, 180, 250)'>entuzjazm</h4>    <p><i><h6>Entuzjazmu znajomych na pewno to nie wzbudzi </h6></i></p>",<h3>enthusiasm</h3>,<p><i><h6>Entuzjazmu znajomych na pewno to nie wzbudzi </h6></i></p>
20,etap,scena,stage/step/phase,"i w każdym etapie wyznaczyć krótkoterminowe, realne cele","<h4 style='color:rgb(0, 180, 250)'>etap</h4>    <p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>",<h3>stage/step/phase</h3>,"<p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>"
21,europa,europa,europe,A osoby z Europy Zachodniej i ze Stanów Zjednoczonych,"<h4 style='color:rgb(0, 180, 250)'>europa</h4>    <p><i><h6>A osoby z Europy Zachodniej i ze Stanów Zjednoczonych </h6></i></p>",<h3>europe</h3>,<p><i><h6>A osoby z Europy Zachodniej i ze Stanów Zjednoczonych </h6></i></p>
22,filmik,wideo,video,"choć pewnie jeżeli oglądacie ten filmik z Brazylii albo gdzieś z Chin,","<h4 style='color:rgb(0, 180, 250)'>filmik</h4>    <p><i><h6>choć pewnie jeżeli oglądacie ten filmik z Brazylii albo gdzieś z Chin, </h6></i></p>",<h3>video</h3>,"<p><i><h6>choć pewnie jeżeli oglądacie ten filmik z Brazylii albo gdzieś z Chin, </h6></i></p>"
23,firma,biznes,company/business,"Polskich sąsiadów, sklepy i firmy znajdziecie też","<h4 style='color:rgb(0, 180, 250)'>firma</h4>    <p><i><h6>Polskich sąsiadów, sklepy i firmy znajdziecie też </h6></i></p>",<h3>company/business</h3>,"<p><i><h6>Polskich sąsiadów, sklepy i firmy znajdziecie też </h6></i></p>"
24,fonetyczny,fonetyczny,phonetic," Język polski jest językiem fonetycznym,","<h4 style='color:rgb(0, 180, 250)'>fonetyczny</h4>    <p><i><h6> Język polski jest językiem fonetycznym, </h6></i></p>",<h3>phonetic</h3>,"<p><i><h6> Język polski jest językiem fonetycznym, </h6></i></p>"
25,fryzjer,fryzjer,hairdresser,"Może się więc zdarzyć, że wybierzecie się do fryzjera","<h4 style='color:rgb(0, 180, 250)'>fryzjer</h4>    <p><i><h6>Może się więc zdarzyć, że wybierzecie się do fryzjera </h6></i></p>",<h3>hairdresser</h3>,"<p><i><h6>Może się więc zdarzyć, że wybierzecie się do fryzjera </h6></i></p>"
26,gramatyka,gramatyka,grammar,"Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki","<h4 style='color:rgb(0, 180, 250)'>gramatyka</h4>    <p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>",<h3>grammar</h3>,"<p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>"
27,ile czasu zajęło ci,ile czasu zajęło ci,how long did it take you,ile czasu zajęło ci nauczenie się polskiego?,"<h4 style='color:rgb(0, 180, 250)'>ile czasu zajęło ci</h4>    <p><i><h6>ile czasu zajęło ci nauczenie się polskiego? </h6></i></p>",<h3>how long did it take you</h3>,<p><i><h6>ile czasu zajęło ci nauczenie się polskiego? </h6></i></p>
