,polish,check,english,sentence,polish_html,english_html,sentence_html
1,ambasada,ambasada,embassy,"od Ambasady Brytyjskiej na specjalne wydarzenie,","<h4 style='color:rgb(0, 180, 250)'>ambasada</h4>    <p><i><h6>od Ambasady Brytyjskiej na specjalne wydarzenie, </h6></i></p>",<h3>embassy</h3>,"<p><i><h6>od Ambasady Brytyjskiej na specjalne wydarzenie, </h6></i></p>"
2,automat,maszyna,machine,"A jeżeli kupujecie bilet przez Internet albo w automacie,","<h4 style='color:rgb(0, 180, 250)'>automat</h4>    <p><i><h6>A jeżeli kupujecie bilet przez Internet albo w automacie, </h6></i></p>",<h3>machine</h3>,"<p><i><h6>A jeżeli kupujecie bilet przez Internet albo w automacie, </h6></i></p>"
3,automatycznie,automatycznie,automatically,ale w polskich pociągach te miejsca są automatycznie przydzielane,"<h4 style='color:rgb(0, 180, 250)'>automatycznie</h4>    <p><i><h6>ale w polskich pociągach te miejsca są automatycznie przydzielane </h6></i></p>",<h3>automatically</h3>,<p><i><h6>ale w polskich pociągach te miejsca są automatycznie przydzielane </h6></i></p>
4,bagaż,bagaż,luggage,Miejsca na bagaże w polskich pociągach zazwyczaj znajdują się,"<h4 style='color:rgb(0, 180, 250)'>bagaż</h4>    <p><i><h6>Miejsca na bagaże w polskich pociągach zazwyczaj znajdują się </h6></i></p>",<h3>luggage</h3>,<p><i><h6>Miejsca na bagaże w polskich pociągach zazwyczaj znajdują się </h6></i></p>
5,bezprzedziałowy,bez przegródek,without compartments,"bezprzedziałowe, czyli takie, w których ludzie","<h4 style='color:rgb(0, 180, 250)'>bezprzedziałowy</h4>    <p><i><h6>bezprzedziałowe, czyli takie, w których ludzie </h6></i></p>",<h3>without compartments</h3>,"<p><i><h6>bezprzedziałowe, czyli takie, w których ludzie </h6></i></p>"
6,bezwzględny,absolutny,absolute/strict,Kontrolerzy w polskich pociągach są bezwzględni,"<h4 style='color:rgb(0, 180, 250)'>bezwzględny</h4>    <p><i><h6>Kontrolerzy w polskich pociągach są bezwzględni </h6></i></p>",<h3>absolute/strict</h3>,<p><i><h6>Kontrolerzy w polskich pociągach są bezwzględni </h6></i></p>
7,braknąć,zaginiony,to missing,"to może dla Was braknąć miejsca, a przynajmniej tego siedzącego,","<h4 style='color:rgb(0, 180, 250)'>braknąć</h4>    <p><i><h6>to może dla Was braknąć miejsca, a przynajmniej tego siedzącego, </h6></i></p>",<h3>to missing</h3>,"<p><i><h6>to może dla Was braknąć miejsca, a przynajmniej tego siedzącego, </h6></i></p>"
8,brytyjski,brytyjski,british,"od Ambasady Brytyjskiej na specjalne wydarzenie,","<h4 style='color:rgb(0, 180, 250)'>brytyjski</h4>    <p><i><h6>od Ambasady Brytyjskiej na specjalne wydarzenie, </h6></i></p>",<h3>british</h3>,"<p><i><h6>od Ambasady Brytyjskiej na specjalne wydarzenie, </h6></i></p>"
9,bywa,odwiedzić,can be/often/happens,"W polskich pociągach bywa problem z Internetem,","<h4 style='color:rgb(0, 180, 250)'>bywa</h4>    <p><i><h6>W polskich pociągach bywa problem z Internetem, </h6></i></p>",<h3>can be/often/happens</h3>,"<p><i><h6>W polskich pociągach bywa problem z Internetem, </h6></i></p>"
10,dalekobieżny,długi dystans,long-distance,"Nie zawsze są w pociągu, ale w tych takich dalekobieżnych","<h4 style='color:rgb(0, 180, 250)'>dalekobieżny</h4>    <p><i><h6>Nie zawsze są w pociągu, ale w tych takich dalekobieżnych </h6></i></p>",<h3>long-distance</h3>,"<p><i><h6>Nie zawsze są w pociągu, ale w tych takich dalekobieżnych </h6></i></p>"
11,dedykowany,dedykowane,dedicated,"że za dedykowane miejsce trzeba sobie dodatkowo zapłacić,","<h4 style='color:rgb(0, 180, 250)'>dedykowany</h4>    <p><i><h6>że za dedykowane miejsce trzeba sobie dodatkowo zapłacić, </h6></i></p>",<h3>dedicated</h3>,"<p><i><h6>że za dedykowane miejsce trzeba sobie dodatkowo zapłacić, </h6></i></p>"
12,dobiegać,dosięgnąć,to be coming to an (end),że nasza dzisiejsza podróż dobiega już prawie końca,"<h4 style='color:rgb(0, 180, 250)'>dobiegać</h4>    <p><i><h6>że nasza dzisiejsza podróż dobiega już prawie końca </h6></i></p>",<h3>to be coming to an (end)</h3>,<p><i><h6>że nasza dzisiejsza podróż dobiega już prawie końca </h6></i></p>
13,docelowy,miejsce docelowe,destination,"jak dojechać do miejsca docelowego Waszej podróży, i jaki kupić bilet","<h4 style='color:rgb(0, 180, 250)'>docelowy</h4>    <p><i><h6>jak dojechać do miejsca docelowego Waszej podróży, i jaki kupić bilet </h6></i></p>",<h3>destination</h3>,"<p><i><h6>jak dojechać do miejsca docelowego Waszej podróży, i jaki kupić bilet </h6></i></p>"
14,dodatkowy,dodatkowo,additional/extra,"że za dedykowane miejsce trzeba sobie dodatkowo zapłacić,","<h4 style='color:rgb(0, 180, 250)'>dodatkowy</h4>    <p><i><h6>że za dedykowane miejsce trzeba sobie dodatkowo zapłacić, </h6></i></p>",<h3>additional/extra</h3>,"<p><i><h6>że za dedykowane miejsce trzeba sobie dodatkowo zapłacić, </h6></i></p>"
15,dojechać,przyjechać,to arrive,"jak dojechać do miejsca docelowego Waszej podróży, i jaki kupić bilet","<h4 style='color:rgb(0, 180, 250)'>dojechać</h4>    <p><i><h6>jak dojechać do miejsca docelowego Waszej podróży, i jaki kupić bilet </h6></i></p>",<h3>to arrive</h3>,"<p><i><h6>jak dojechać do miejsca docelowego Waszej podróży, i jaki kupić bilet </h6></i></p>"
16,dojść,chodź,to reach/figure out,"i dojdziecie do wniosku, że nic z nich nie rozumiecie,","<h4 style='color:rgb(0, 180, 250)'>dojść</h4>    <p><i><h6>i dojdziecie do wniosku, że nic z nich nie rozumiecie, </h6></i></p>",<h3>to reach/figure out</h3>,"<p><i><h6>i dojdziecie do wniosku, że nic z nich nie rozumiecie, </h6></i></p>"
17,domowy,dom,home,"na spokojnie, w Waszym domowym zaciszu","<h4 style='color:rgb(0, 180, 250)'>domowy</h4>    <p><i><h6>na spokojnie, w Waszym domowym zaciszu </h6></i></p>",<h3>home</h3>,"<p><i><h6>na spokojnie, w Waszym domowym zaciszu </h6></i></p>"
18,dołączyć,przystąp,to join,"jak dołączyć do naszej super społeczności,","<h4 style='color:rgb(0, 180, 250)'>dołączyć</h4>    <p><i><h6>jak dołączyć do naszej super społeczności, </h6></i></p>",<h3>to join</h3>,"<p><i><h6>jak dołączyć do naszej super społeczności, </h6></i></p>"
19,drożdżówka,kok,bun/bread roll,"My, zaopatrzone w drożdżówki, ruszamy na peron","<h4 style='color:rgb(0, 180, 250)'>drożdżówka</h4>    <p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>",<h3>bun/bread roll</h3>,"<p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>"
20,droższy,droższe,more expensive,"w których są droższe, trochę wygodniejsze miejsca,","<h4 style='color:rgb(0, 180, 250)'>droższy</h4>    <p><i><h6>w których są droższe, trochę wygodniejsze miejsca, </h6></i></p>",<h3>more expensive</h3>,"<p><i><h6>w których są droższe, trochę wygodniejsze miejsca, </h6></i></p>"
21,dworzec,stacja,railway station,to oczywiście możecie wybrać się na dworzec w Waszym mieście,"<h4 style='color:rgb(0, 180, 250)'>dworzec</h4>    <p><i><h6>to oczywiście możecie wybrać się na dworzec w Waszym mieście </h6></i></p>",<h3>railway station</h3>,<p><i><h6>to oczywiście możecie wybrać się na dworzec w Waszym mieście </h6></i></p>
22,działać,praca,to work/operate,"Ja wiem, że w niektórych krajach to tak działa,","<h4 style='color:rgb(0, 180, 250)'>działać</h4>    <p><i><h6>Ja wiem, że w niektórych krajach to tak działa, </h6></i></p>",<h3>to work/operate</h3>,"<p><i><h6>Ja wiem, że w niektórych krajach to tak działa, </h6></i></p>"
23,dzisiejszy,dziś,today,że nasza dzisiejsza podróż dobiega już prawie końca,"<h4 style='color:rgb(0, 180, 250)'>dzisiejszy</h4>    <p><i><h6>że nasza dzisiejsza podróż dobiega już prawie końca </h6></i></p>",<h3>today</h3>,<p><i><h6>że nasza dzisiejsza podróż dobiega już prawie końca </h6></i></p>
24,fan,wentylator,fan (of sth),"Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań,","<h4 style='color:rgb(0, 180, 250)'>fan</h4>    <p><i><h6>Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań, </h6></i></p>",<h3>fan (of sth)</h3>,"<p><i><h6>Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań, </h6></i></p>"
25,funkcjonować,funkcjonują,to function/operate/work,jak funkcjonuje podróżowanie właśnie pociągiem w Polsce,"<h4 style='color:rgb(0, 180, 250)'>funkcjonować</h4>    <p><i><h6>jak funkcjonuje podróżowanie właśnie pociągiem w Polsce </h6></i></p>",<h3>to function/operate/work</h3>,<p><i><h6>jak funkcjonuje podróżowanie właśnie pociągiem w Polsce </h6></i></p>
26,gorszej,gorzej,worse,"Czasami lepszej, czasami gorszej jakości,","<h4 style='color:rgb(0, 180, 250)'>gorszej</h4>    <p><i><h6>Czasami lepszej, czasami gorszej jakości, </h6></i></p>",<h3>worse</h3>,"<p><i><h6>Czasami lepszej, czasami gorszej jakości, </h6></i></p>"
27,grono,garść,bunch of/group of,"Pamiętajcie, że to grono naszych Patronów","<h4 style='color:rgb(0, 180, 250)'>grono</h4>    <p><i><h6>Pamiętajcie, że to grono naszych Patronów </h6></i></p>",<h3>bunch of/group of</h3>,"<p><i><h6>Pamiętajcie, że to grono naszych Patronów </h6></i></p>"
28,gwarantuja,gwarancja,guarantee,"które gwarantują tańsze bilety,","<h4 style='color:rgb(0, 180, 250)'>gwarantuja</h4>    <p><i><h6>które gwarantują tańsze bilety, </h6></i></p>",<h3>guarantee</h3>,"<p><i><h6>które gwarantują tańsze bilety, </h6></i></p>"
29,informacyjny,informacyjny,informative,to najlepiej przyglądajcie się tym tablicom informacyjnym,"<h4 style='color:rgb(0, 180, 250)'>informacyjny</h4>    <p><i><h6>to najlepiej przyglądajcie się tym tablicom informacyjnym </h6></i></p>",<h3>informative</h3>,<p><i><h6>to najlepiej przyglądajcie się tym tablicom informacyjnym </h6></i></p>
30,jakikolwiek,każdy,any/whichever,"Po wejściu na jakikolwiek dworzec w Polsce,","<h4 style='color:rgb(0, 180, 250)'>jakikolwiek</h4>    <p><i><h6>Po wejściu na jakikolwiek dworzec w Polsce, </h6></i></p>",<h3>any/whichever</h3>,"<p><i><h6>Po wejściu na jakikolwiek dworzec w Polsce, </h6></i></p>"
31,jakość,jakość,quality,"Czasami lepszej, czasami gorszej jakości,","<h4 style='color:rgb(0, 180, 250)'>jakość</h4>    <p><i><h6>Czasami lepszej, czasami gorszej jakości, </h6></i></p>",<h3>quality</h3>,"<p><i><h6>Czasami lepszej, czasami gorszej jakości, </h6></i></p>"
32,kara,kara,penalty,"i jeżeli tam usiądziemy przez przypadek, to możemy dostać za to karę","<h4 style='color:rgb(0, 180, 250)'>kara</h4>    <p><i><h6>i jeżeli tam usiądziemy przez przypadek, to możemy dostać za to karę </h6></i></p>",<h3>penalty</h3>,"<p><i><h6>i jeżeli tam usiądziemy przez przypadek, to możemy dostać za to karę </h6></i></p>"
33,kasa,kasa,cash register,No i poza Internetem i kasami jest jeszcze trzecia opcja,"<h4 style='color:rgb(0, 180, 250)'>kasa</h4>    <p><i><h6>No i poza Internetem i kasami jest jeszcze trzecia opcja </h6></i></p>",<h3>cash register</h3>,<p><i><h6>No i poza Internetem i kasami jest jeszcze trzecia opcja </h6></i></p>
34,kawiarenka,kawiarnia,cafe,"to możecie to zrobić w jednej z licznych kawiarenek,","<h4 style='color:rgb(0, 180, 250)'>kawiarenka</h4>    <p><i><h6>to możecie to zrobić w jednej z licznych kawiarenek, </h6></i></p>",<h3>cafe</h3>,"<p><i><h6>to możecie to zrobić w jednej z licznych kawiarenek, </h6></i></p>"
35,klikać,klikanie,to click,"stronę tanich linii lotniczych i sprawia, że klikając niektóre pola","<h4 style='color:rgb(0, 180, 250)'>klikać</h4>    <p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>",<h3>to click</h3>,"<p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>"
36,kod,kod,code,Najważniejszy jest ten kod QR,"<h4 style='color:rgb(0, 180, 250)'>kod</h4>    <p><i><h6>Najważniejszy jest ten kod QR </h6></i></p>",<h3>code</h3>,<p><i><h6>Najważniejszy jest ten kod QR </h6></i></p>
37,koleja,koleją,by rail/train,"Koleje Śląskie, Małopolskie, Podkarpackie, Mazowieckie,","<h4 style='color:rgb(0, 180, 250)'>koleja</h4>    <p><i><h6>Koleje Śląskie, Małopolskie, Podkarpackie, Mazowieckie, </h6></i></p>",<h3>by rail/train</h3>,"<p><i><h6>Koleje Śląskie, Małopolskie, Podkarpackie, Mazowieckie, </h6></i></p>"
38,komórka,komórka,cellphone,w których ludzie siedzą w takich małych komórkach w sześć osób,"<h4 style='color:rgb(0, 180, 250)'>komórka</h4>    <p><i><h6>w których ludzie siedzą w takich małych komórkach w sześć osób </h6></i></p>",<h3>cellphone</h3>,<p><i><h6>w których ludzie siedzą w takich małych komórkach w sześć osób </h6></i></p>
39,kontroler,kontroler,ticket inspector,"żeby potem kontroler mógł go sczytać, jak będziecie już w pociągu","<h4 style='color:rgb(0, 180, 250)'>kontroler</h4>    <p><i><h6>żeby potem kontroler mógł go sczytać, jak będziecie już w pociągu </h6></i></p>",<h3>ticket inspector</h3>,"<p><i><h6>żeby potem kontroler mógł go sczytać, jak będziecie już w pociągu </h6></i></p>"
40,kusić,kusić,to tempt," Zwłaszcza, że PKP kusi ostatnio","<h4 style='color:rgb(0, 180, 250)'>kusić</h4>    <p><i><h6> Zwłaszcza, że PKP kusi ostatnio </h6></i></p>",<h3>to tempt</h3>,"<p><i><h6> Zwłaszcza, że PKP kusi ostatnio </h6></i></p>"
41,liczny,liczny,numerous,"to możecie to zrobić w jednej z licznych kawiarenek,","<h4 style='color:rgb(0, 180, 250)'>liczny</h4>    <p><i><h6>to możecie to zrobić w jednej z licznych kawiarenek, </h6></i></p>",<h3>numerous</h3>,"<p><i><h6>to możecie to zrobić w jednej z licznych kawiarenek, </h6></i></p>"
42,link,połączyć,link,więc szczegółowe linki postaramy się Wam zostawić,"<h4 style='color:rgb(0, 180, 250)'>link</h4>    <p><i><h6>więc szczegółowe linki postaramy się Wam zostawić </h6></i></p>",<h3>link</h3>,<p><i><h6>więc szczegółowe linki postaramy się Wam zostawić </h6></i></p>
43,lokalny,lokalny,local,A takie krótsze lokalne trasy w ramach jednego województwa,"<h4 style='color:rgb(0, 180, 250)'>lokalny</h4>    <p><i><h6>A takie krótsze lokalne trasy w ramach jednego województwa </h6></i></p>",<h3>local</h3>,<p><i><h6>A takie krótsze lokalne trasy w ramach jednego województwa </h6></i></p>
